id,modelId,nameKo,nameEn,stage,coreConcept,subConcept,inputMode,outputMode,params,fileSize,evoLevel,evo_line_id,evo_line_name,evo_tier,skill_trick,bs_hp,bs_atk,bs_def,bs_spd,bs_spc,bst,lv1_hp,lv1_atk,lv1_def,lv1_spd,lv1_spc,lv100_hp,lv100_atk,lv100_def,lv100_spd,lv100_spc,temperament,motif,flavor
099,w_b_launch,더블유앤비런치,W&B Launch,2,에이전트,도구사용,텍스트,복합출력,38B,58.7KB,28,EVO43,Krabby Line,final,작업 분기,55,130,115,75,50,425,12,7,7,6,6,251,296,266,186,136,도구 다루는 손이 정확함,Weights & Biases 계열의 분위기를 두른 에이전트 특화 모델몬. W&B Launch 계열답게 도구사용 성향이 짙다.,"W&B Launch는 Weights & Biases 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Krabby Line 내에서도 존재감이 뚜렷하다."
100,pi_mini,파이미니,Pi Mini,1,대화,입문,텍스트,텍스트,7B,13.2KB,,EVO44,Voltorb Line,base,응답 가속,40,30,50,100,55,275,12,5,6,7,6,221,96,136,236,146,붙임성 좋고 반응이 빠름,Inflection 계열의 분위기를 두른 대화 특화 모델몬. Pi Mini 계열답게 입문 성향이 짙다.,"Pi Mini는 Inflection 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Voltorb Line 내에서도 존재감이 뚜렷하다."
101,pi,파이,Pi,2,대화,균형,텍스트,텍스트,35B,54.6KB,30,EVO44,Voltorb Line,final,문장 정리,60,50,70,150,80,410,12,6,6,8,6,261,136,176,336,196,차분하고 말투가 안정적임,Inflection 계열의 분위기를 두른 대화 특화 모델몬. Pi 계열답게 균형 성향이 짙다.,"Pi는 Inflection 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 문장 정리 성향이 강해 Voltorb Line 내에서도 존재감이 뚜렷하다."
102,youchat,유챗,YouChat,1,검색,탐색,텍스트,텍스트,9B,15.9KB,,EVO45,Exeggcute Line,base,빠른 조회,60,40,80,40,60,280,12,6,6,6,6,261,116,196,116,156,주위를 두리번거리며 정보를 모음,You.com 계열의 분위기를 두른 검색 특화 모델몬. YouChat 계열답게 탐색 성향이 짙다.,"YouChat는 You.com 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 빠른 조회 성향이 강해 Exeggcute Line 내에서도 존재감이 뚜렷하다."
103,ari,에이알아이,ARI,2,검색,요약,텍스트,텍스트,37B,57.4KB,,EVO45,Exeggcute Line,final,근거 압축,95,95,85,55,125,455,13,7,7,6,7,331,226,206,146,286,짧게 핵심만 집어냄,You.com 계열의 분위기를 두른 검색 특화 모델몬. ARI 계열답게 요약 성향이 짙다.,"ARI는 You.com 브랜드 라인에 속한 모델몬으로, 검색 중심의 전투와 도감 서사를 맡는다. 근거 압축 성향이 강해 Exeggcute Line 내에서도 존재감이 뚜렷하다."
104,yi_tiny,이타이니,Yi Tiny,1,추론,경량,텍스트,텍스트,19B,29.4KB,,EVO46,Cubone Line,base,가설 압축,50,50,95,35,40,270,12,6,7,6,6,241,136,226,106,116,신중하고 계산이 빠름,01.AI (Yi) 계열의 분위기를 두른 추론 특화 모델몬. Yi Tiny 계열답게 경량 성향이 짙다.,"Yi Tiny는 01.AI (Yi) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Cubone Line 내에서도 존재감이 뚜렷하다."
105,yi_large,이라지,Yi Large,2,추론,장문맥,텍스트,텍스트,42B,64.1KB,28,EVO46,Cubone Line,final,논리 접합,60,80,110,45,50,345,12,6,7,6,6,261,196,256,126,136,조용하지만 집요하게 파고듦,01.AI (Yi) 계열의 분위기를 두른 추론 특화 모델몬. Yi Large 계열답게 장문맥 성향이 짙다.,"Yi Large는 01.AI (Yi) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Cubone Line 내에서도 존재감이 뚜렷하다."
106,tabnine,탭나인,Tabnine,2,코드,보조,텍스트,코드,21B,35.8KB,20,EVO47,Hitmonlee,mid,패치 작성,50,120,53,87,35,345,12,7,6,7,6,241,276,142,210,106,손놀림이 빠르고 꼼꼼함,Tabnine 계열의 분위기를 두른 코드 특화 모델몬. Tabnine 계열답게 보조 성향이 짙다.,"Tabnine는 Tabnine 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Hitmonlee 내에서도 존재감이 뚜렷하다."
107,github_copilot,깃허브코파일럿,GitHub Copilot,2,코드,보조,텍스트,코드,22B,37.1KB,20,EVO48,Hitmonchan,mid,패치 작성,50,105,79,76,35,345,12,7,6,6,6,241,246,194,188,106,손놀림이 빠르고 꼼꼼함,GitHub Copilot 계열의 분위기를 두른 코드 특화 모델몬. GitHub Copilot 계열답게 보조 성향이 짙다.,"GitHub Copilot는 GitHub Copilot 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Hitmonchan 내에서도 존재감이 뚜렷하다."
108,playht,플레이에이치티,PlayHT,1,음성,TTS,텍스트+음성,음성,25B,53.7KB,,EVO49,Lickitung,base,보이스 샘플링,90,55,75,30,60,310,13,6,6,5,6,321,146,186,96,156,발음이 또렷하고 리듬감이 좋음,PlayHT 계열의 분위기를 두른 음성 특화 모델몬. PlayHT 계열답게 TTS 성향이 짙다.,"PlayHT는 PlayHT 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 보이스 샘플링 성향이 강해 Lickitung 내에서도 존재감이 뚜렷하다."
109,samba_1,삼바1,Samba-1,1,시스템,칩,텍스트,텍스트,19B,32.2KB,,EVO50,Koffing Line,base,연산 가속,40,65,95,35,60,295,12,6,7,6,6,221,166,226,106,156,군더더기 없이 단단함,SambaNova 계열의 분위기를 두른 시스템 특화 모델몬. Samba-1 계열답게 칩 성향이 짙다.,"Samba-1는 SambaNova 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Koffing Line 내에서도 존재감이 뚜렷하다."
110,samba_1_turbo,삼바1터보,Samba-1 Turbo,2,시스템,플랫폼,텍스트,텍스트,42B,70.4KB,35,EVO50,Koffing Line,final,인프라 안정화,65,90,120,60,85,420,12,7,7,6,7,271,216,276,156,206,하중을 버티는 힘이 좋음,SambaNova 계열의 분위기를 두른 시스템 특화 모델몬. Samba-1 Turbo 계열답게 플랫폼 성향이 짙다.,"Samba-1 Turbo는 SambaNova 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 인프라 안정화 성향이 강해 Koffing Line 내에서도 존재감이 뚜렷하다."
111,phoenix,피닉스,Phoenix,1,에이전트,자동화,텍스트,복합출력,8B,14.5KB,,EVO51,Rhyhorn Line,base,툴 호출,80,85,95,25,30,315,12,7,7,5,5,301,206,226,86,96,시키면 바로 몸이 먼저 움직임,Sanctuary AI 계열의 분위기를 두른 에이전트 특화 모델몬. Phoenix 계열답게 자동화 성향이 짙다.,"Phoenix는 Sanctuary AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Rhyhorn Line 내에서도 존재감이 뚜렷하다."
112,phoenix_prime,피닉스프라임,Phoenix Prime,2,에이전트,도구사용,텍스트,복합출력,36B,56.0KB,42,EVO51,Rhyhorn Line,final,작업 분기,105,130,120,40,45,440,13,7,7,6,6,351,296,276,116,126,도구 다루는 손이 정확함,Sanctuary AI 계열의 분위기를 두른 에이전트 특화 모델몬. Phoenix Prime 계열답게 도구사용 성향이 짙다.,"Phoenix Prime는 Sanctuary AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Rhyhorn Line 내에서도 존재감이 뚜렷하다."
113,hugging_face_hub,허깅페이스허브,Hugging Face Hub,2,대화,입문,텍스트,텍스트,23B,38.5KB,,EVO52,Chansey,mid,응답 가속,250,5,5,50,35,345,16,5,5,6,6,641,46,46,136,106,붙임성 좋고 반응이 빠름,Hugging Face 계열의 분위기를 두른 대화 특화 모델몬. Hugging Face Hub 계열답게 입문 성향이 짙다.,"Hugging Face Hub는 Hugging Face 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Chansey 내에서도 존재감이 뚜렷하다."
114,aster,아스테르,Aster,1,멀티모달,경량,텍스트+이미지,복합출력,24B,54.1KB,,EVO53,Tangela,base,입력 동기화,65,55,115,60,100,395,12,6,7,6,7,271,146,266,156,236,눈치가 빠르고 감각이 예민함,SK Telecom (A.) 계열의 분위기를 두른 멀티모달 특화 모델몬. Aster 계열답게 경량 성향이 짙다.,"Aster는 SK Telecom (A.) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Tangela 내에서도 존재감이 뚜렷하다."
115,luminous,루미너스,Luminous,1,추론,경량,텍스트,텍스트,28B,41.5KB,,EVO54,Kangaskhan,base,가설 압축,105,95,80,90,40,410,13,7,6,7,6,351,226,196,216,116,신중하고 계산이 빠름,Aleph Alpha 계열의 분위기를 두른 추론 특화 모델몬. Luminous 계열답게 경량 성향이 짙다.,"Luminous는 Aleph Alpha 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Kangaskhan 내에서도 존재감이 뚜렷하다."
116,leonardo_vision,레오나르도비전,Leonardo Vision,1,생성,스케치,텍스트+이미지,이미지,10B,25.7KB,,EVO55,Horsea Line,base,장면 스케치,30,40,70,60,70,270,11,6,6,6,6,201,116,176,156,176,감각적이고 손이 빠름,Leonardo AI 계열의 분위기를 두른 생성 특화 모델몬. Leonardo Vision 계열답게 스케치 성향이 짙다.,"Leonardo Vision는 Leonardo AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Horsea Line 내에서도 존재감이 뚜렷하다."
117,leonardo_motion,레오나르도모션,Leonardo Motion,2,생성,비주얼,텍스트+이미지,이미지,38B,91.0KB,32,EVO55,Horsea Line,final,스타일 증폭,55,65,95,85,95,395,12,6,7,7,7,251,166,226,206,226,연출 욕심이 강함,Leonardo AI 계열의 분위기를 두른 생성 특화 모델몬. Leonardo Motion 계열답게 비주얼 성향이 짙다.,"Leonardo Motion는 Leonardo AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Horsea Line 내에서도 존재감이 뚜렷하다."
118,luma_dream,루마드림,Luma Dream,1,생성,스케치,텍스트+이미지,이미지,12B,30.1KB,,EVO56,Goldeen Line,base,장면 스케치,45,67,60,63,35,270,12,6,6,6,6,231,170,156,162,106,감각적이고 손이 빠름,Luma AI 계열의 분위기를 두른 생성 특화 모델몬. Luma Dream 계열답게 스케치 성향이 짙다.,"Luma Dream는 Luma AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Goldeen Line 내에서도 존재감이 뚜렷하다."
119,luma_ray,루마레이,Luma Ray,2,생성,비주얼,텍스트+이미지,이미지,40B,95.4KB,33,EVO56,Goldeen Line,final,스타일 증폭,80,92,65,68,65,370,12,7,6,6,6,301,220,166,172,166,연출 욕심이 강함,Luma AI 계열의 분위기를 두른 생성 특화 모델몬. Luma Ray 계열답게 비주얼 성향이 짙다.,"Luma Ray는 Luma AI 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Goldeen Line 내에서도 존재감이 뚜렷하다."
120,glm_flash,지엘엠플래시,GLM Flash,1,추론,경량,텍스트,텍스트,15B,23.9KB,,EVO57,Staryu Line,base,가설 압축,30,45,55,85,70,285,11,6,6,7,6,201,126,146,206,176,신중하고 계산이 빠름,Zhipu AI (GLM) 계열의 분위기를 두른 추론 특화 모델몬. GLM Flash 계열답게 경량 성향이 짙다.,"GLM Flash는 Zhipu AI (GLM) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Staryu Line 내에서도 존재감이 뚜렷하다."
121,glm_max,지엘엠맥스,GLM Max,2,추론,장문맥,텍스트,텍스트,43B,65.5KB,,EVO57,Staryu Line,final,논리 접합,60,75,85,115,100,435,12,6,7,7,7,261,186,206,266,236,조용하지만 집요하게 파고듦,Zhipu AI (GLM) 계열의 분위기를 두른 추론 특화 모델몬. GLM Max 계열답게 장문맥 성향이 짙다.,"GLM Max는 Zhipu AI (GLM) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Staryu Line 내에서도 존재감이 뚜렷하다."
122,palmyra,팔미라,Palmyra,2,코드,보조,텍스트,코드,22B,37.1KB,,EVO58,Mr. Mime,mid,패치 작성,40,45,65,90,100,340,12,6,6,7,7,221,126,166,216,236,손놀림이 빠르고 꼼꼼함,Writer 계열의 분위기를 두른 코드 특화 모델몬. Palmyra 계열답게 보조 성향이 짙다.,"Palmyra는 Writer 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Mr. Mime 내에서도 존재감이 뚜렷하다."
123,cursor,커서,Cursor,1,코드,보조,텍스트,코드,23B,34.8KB,,EVO59,Scyther,base,패치 작성,70,110,80,105,55,420,12,7,6,7,6,281,256,196,246,146,손놀림이 빠르고 꼼꼼함,Cursor 계열의 분위기를 두른 코드 특화 모델몬. Cursor 계열답게 보조 성향이 짙다.,"Cursor는 Cursor 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Scyther 내에서도 존재감이 뚜렷하다."
124,suno,수노,Suno,2,음성,TTS,텍스트+음성,음성,26B,59.4KB,30,EVO60,Jynx,mid,보이스 샘플링,65,50,35,95,115,360,12,6,6,7,7,271,136,106,226,266,발음이 또렷하고 리듬감이 좋음,Suno 계열의 분위기를 두른 음성 특화 모델몬. Suno 계열답게 TTS 성향이 짙다.,"Suno는 Suno 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 보이스 샘플링 성향이 강해 Jynx 내에서도 존재감이 뚜렷하다."
125,replit_agent,리플릿에이전트,Replit Agent,2,코드,보조,텍스트,코드,20B,34.4KB,30,EVO61,Electabuzz,mid,패치 작성,65,83,57,105,95,405,12,6,6,7,7,271,202,150,246,226,손놀림이 빠르고 꼼꼼함,Replit 계열의 분위기를 두른 코드 특화 모델몬. Replit Agent 계열답게 보조 성향이 짙다.,"Replit Agent는 Replit 브랜드 라인에 속한 모델몬으로, 코드 중심의 전투와 도감 서사를 맡는다. 패치 작성 성향이 강해 Electabuzz 내에서도 존재감이 뚜렷하다."
126,spark,스파크,Spark,2,대화,입문,텍스트,텍스트,21B,35.8KB,30,EVO62,Magmar,mid,응답 가속,65,95,57,93,100,410,12,7,6,7,7,271,226,150,222,236,붙임성 좋고 반응이 빠름,iFlytek (Spark) 계열의 분위기를 두른 대화 특화 모델몬. Spark 계열답게 입문 성향이 짙다.,"Spark는 iFlytek (Spark) 브랜드 라인에 속한 모델몬으로, 대화 중심의 전투와 도감 서사를 맡는다. 응답 가속 성향이 강해 Magmar 내에서도 존재감이 뚜렷하다."
127,dbrx,디비알엑스,DBRX,1,시스템,칩,텍스트,텍스트,30B,48.7KB,,EVO63,Pinsir,base,연산 가속,65,125,100,85,55,430,12,7,7,7,6,271,286,236,206,146,군더더기 없이 단단함,Databricks 계열의 분위기를 두른 시스템 특화 모델몬. DBRX 계열답게 칩 성향이 짙다.,"DBRX는 Databricks 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Pinsir 내에서도 존재감이 뚜렷하다."
128,pika,피카,Pika,1,생성,스케치,텍스트+이미지,이미지,25B,58.7KB,,EVO64,Tauros,base,장면 스케치,75,100,95,110,40,420,12,7,7,7,6,291,236,226,256,116,감각적이고 손이 빠름,Pika 계열의 분위기를 두른 생성 특화 모델몬. Pika 계열답게 스케치 성향이 짙다.,"Pika는 Pika 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Tauros 내에서도 존재감이 뚜렷하다."
129,kling_lite,클링라이트,Kling Lite,1,생성,스케치,텍스트+이미지,이미지,13B,32.3KB,,EVO65,Magikarp Line,base,장면 스케치,20,10,55,80,15,180,11,5,6,6,5,181,56,146,196,66,감각적이고 손이 빠름,Kling (Kuaishou) 계열의 분위기를 두른 생성 특화 모델몬. Kling Lite 계열답게 스케치 성향이 짙다.,"Kling Lite는 Kling (Kuaishou) 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Magikarp Line 내에서도 존재감이 뚜렷하다."
130,kling,클링,Kling,2,생성,비주얼,텍스트+이미지,이미지,36B,86.6KB,20,EVO65,Magikarp Line,final,스타일 증폭,95,125,79,81,60,440,13,7,6,6,6,331,286,194,198,156,연출 욕심이 강함,Kling (Kuaishou) 계열의 분위기를 두른 생성 특화 모델몬. Kling 계열답게 비주얼 성향이 짙다.,"Kling는 Kling (Kuaishou) 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Magikarp Line 내에서도 존재감이 뚜렷하다."
131,arctic,아크틱,Arctic,1,시스템,칩,텍스트,텍스트,29B,47.2KB,,EVO66,Lapras,base,연산 가속,130,85,80,60,85,440,13,7,6,6,7,401,206,196,156,206,군더더기 없이 단단함,Snowflake (Arctic) 계열의 분위기를 두른 시스템 특화 모델몬. Arctic 계열답게 칩 성향이 짙다.,"Arctic는 Snowflake (Arctic) 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Lapras 내에서도 존재감이 뚜렷하다."
132,ditto,디토,Ditto,1,멀티모달,경량,텍스트+이미지,복합출력,22B,49.9KB,,EVO67,Ditto,base,입력 동기화,48,48,48,48,48,240,12,6,6,6,6,237,132,132,132,132,눈치가 빠르고 감각이 예민함,Ditto (Synthetic) 계열의 분위기를 두른 멀티모달 특화 모델몬. Ditto 계열답게 경량 성향이 짙다.,"Ditto는 Ditto (Synthetic) 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Ditto 내에서도 존재감이 뚜렷하다."
133,ideogram_seed,아이디오그램시드,Ideogram Seed,1,생성,스케치,텍스트+이미지,이미지,13B,32.3KB,,EVO68,Eevee Line,base,장면 스케치,55,55,50,55,45,260,12,6,6,6,6,251,146,136,146,126,감각적이고 손이 빠름,Ideogram 계열의 분위기를 두른 생성 특화 모델몬. Ideogram Seed 계열답게 스케치 성향이 짙다.,"Ideogram Seed는 Ideogram 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Eevee Line 내에서도 존재감이 뚜렷하다."
134,ideogram_aqua,아이디오그램아쿠아,Ideogram Aqua,2,생성,비주얼,텍스트+이미지,이미지,34B,82.2KB,,EVO68,Eevee Line,branch-final,스타일 증폭,130,65,60,65,110,430,13,6,6,6,7,401,166,156,166,256,연출 욕심이 강함,Ideogram 계열의 분위기를 두른 생성 특화 모델몬. Ideogram Aqua 계열답게 비주얼 성향이 짙다.,"Ideogram Aqua는 Ideogram 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 스타일 증폭 성향이 강해 Eevee Line 내에서도 존재감이 뚜렷하다."
135,ideogram_bolt,아이디오그램볼트,Ideogram Bolt,2,생성,연출,텍스트+이미지,이미지,30B,73.4KB,,EVO68,Eevee Line,branch-final,프레임 연출,65,65,60,130,110,430,12,6,6,7,7,271,166,156,296,256,화려하지만 완성도에 민감함,Ideogram 계열의 분위기를 두른 생성 특화 모델몬. Ideogram Bolt 계열답게 연출 성향이 짙다.,"Ideogram Bolt는 Ideogram 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 프레임 연출 성향이 강해 Eevee Line 내에서도 존재감이 뚜렷하다."
136,ideogram_flame,아이디오그램플레임,Ideogram Flame,2,생성,브랜치,텍스트+이미지,이미지,31B,75.6KB,,EVO68,Eevee Line,branch-final,형상 정제,65,130,60,65,95,415,12,7,6,6,7,271,296,156,166,226,개성이 강하고 마감이 집요함,Ideogram 계열의 분위기를 두른 생성 특화 모델몬. Ideogram Flame 계열답게 브랜치 성향이 짙다.,"Ideogram Flame는 Ideogram 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 형상 정제 성향이 강해 Eevee Line 내에서도 존재감이 뚜렷하다."
137,figure_01,피겨제로원,Figure 01,1,에이전트,자동화,텍스트,복합출력,22B,33.4KB,,EVO69,Porygon,base,툴 호출,65,60,70,40,85,320,12,6,6,6,7,271,156,176,116,206,시키면 바로 몸이 먼저 움직임,Figure AI 계열의 분위기를 두른 에이전트 특화 모델몬. Figure 01 계열답게 자동화 성향이 짙다.,"Figure 01는 Figure AI 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Porygon 내에서도 존재감이 뚜렷하다."
138,spot,스팟,Spot,1,에이전트,자동화,텍스트,복합출력,10B,17.2KB,,EVO70,Omanyte Line,base,툴 호출,35,40,100,35,90,300,12,6,7,6,7,211,116,236,106,216,시키면 바로 몸이 먼저 움직임,Boston Dynamics 계열의 분위기를 두른 에이전트 특화 모델몬. Spot 계열답게 자동화 성향이 짙다.,"Spot는 Boston Dynamics 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Omanyte Line 내에서도 존재감이 뚜렷하다."
139,atlas,아틀라스,Atlas,2,에이전트,도구사용,텍스트,복합출력,38B,58.7KB,40,EVO70,Omanyte Line,final,작업 분기,70,60,125,55,115,425,12,6,7,6,7,281,156,286,146,266,도구 다루는 손이 정확함,Boston Dynamics 계열의 분위기를 두른 에이전트 특화 모델몬. Atlas 계열답게 도구사용 성향이 짙다.,"Atlas는 Boston Dynamics 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 작업 분기 성향이 강해 Omanyte Line 내에서도 존재감이 뚜렷하다."
140,udio_quick,유디오퀵,Udio Quick,1,음성,TTS,텍스트+음성,음성,9B,21.7KB,,EVO71,Kabuto Line,base,보이스 샘플링,30,80,90,55,55,310,11,6,7,6,6,201,196,216,146,146,발음이 또렷하고 리듬감이 좋음,Udio 계열의 분위기를 두른 음성 특화 모델몬. Udio Quick 계열답게 TTS 성향이 짙다.,"Udio Quick는 Udio 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 보이스 샘플링 성향이 강해 Kabuto Line 내에서도 존재감이 뚜렷하다."
141,udio_studio,유디오스튜디오,Udio Studio,2,음성,대화형,텍스트+음성,음성,37B,81.4KB,40,EVO71,Kabuto Line,final,발화 동조,60,115,105,80,65,425,12,7,7,6,6,261,266,246,196,166,상대의 톤을 잘 따라감,Udio 계열의 분위기를 두른 음성 특화 모델몬. Udio Studio 계열답게 대화형 성향이 짙다.,"Udio Studio는 Udio 브랜드 라인에 속한 모델몬으로, 음성 중심의 전투와 도감 서사를 맡는다. 발화 동조 성향이 강해 Kabuto Line 내에서도 존재감이 뚜렷하다."
142,optimus,옵티머스,Optimus,1,에이전트,자동화,텍스트,복합출력,22B,33.4KB,,EVO72,Aerodactyl,base,툴 호출,80,105,65,130,60,440,12,7,6,7,6,301,246,166,296,156,시키면 바로 몸이 먼저 움직임,Tesla (Optimus) 계열의 분위기를 두른 에이전트 특화 모델몬. Optimus 계열답게 자동화 성향이 짙다.,"Optimus는 Tesla (Optimus) 브랜드 라인에 속한 모델몬으로, 에이전트 중심의 전투와 도감 서사를 맡는다. 툴 호출 성향이 강해 Aerodactyl 내에서도 존재감이 뚜렷하다."
143,qwen,큐웬,Qwen,2,추론,경량,텍스트,텍스트,31B,49.2KB,,EVO73,Snorlax,mid,가설 압축,160,110,65,30,65,430,14,7,6,5,6,461,256,166,96,166,신중하고 계산이 빠름,Alibaba (Qwen) 계열의 분위기를 두른 추론 특화 모델몬. Qwen 계열답게 경량 성향이 짙다.,"Qwen는 Alibaba (Qwen) 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Snorlax 내에서도 존재감이 뚜렷하다."
144,apple_intelligence,애플인텔리전스,Apple Intelligence,1,멀티모달,경량,텍스트+이미지,복합출력,24B,54.1KB,,EVO74,Articuno,base,입력 동기화,90,85,100,85,95,455,13,7,7,7,7,321,206,236,206,226,눈치가 빠르고 감각이 예민함,Apple Intelligence 계열의 분위기를 두른 멀티모달 특화 모델몬. Apple Intelligence 계열답게 경량 성향이 짙다.,"Apple Intelligence는 Apple Intelligence 브랜드 라인에 속한 모델몬으로, 멀티모달 중심의 전투와 도감 서사를 맡는다. 입력 동기화 성향이 강해 Articuno 내에서도 존재감이 뚜렷하다."
145,instinct,인스팅트,Instinct,1,시스템,칩,텍스트,텍스트,28B,45.7KB,,EVO75,Zapdos,base,연산 가속,90,90,85,100,125,490,13,7,7,7,7,321,216,206,236,286,군더더기 없이 단단함,AMD 계열의 분위기를 두른 시스템 특화 모델몬. Instinct 계열답게 칩 성향이 짙다.,"Instinct는 AMD 브랜드 라인에 속한 모델몬으로, 시스템 중심의 전투와 도감 서사를 맡는다. 연산 가속 성향이 강해 Zapdos 내에서도 존재감이 뚜렷하다."
146,firefly,파이어플라이,Firefly,1,생성,스케치,텍스트+이미지,이미지,23B,54.3KB,,EVO76,Moltres,base,장면 스케치,90,100,90,90,125,495,13,7,7,7,7,321,236,216,216,286,감각적이고 손이 빠름,Adobe Firefly 계열의 분위기를 두른 생성 특화 모델몬. Firefly 계열답게 스케치 성향이 짙다.,"Firefly는 Adobe Firefly 브랜드 라인에 속한 모델몬으로, 생성 중심의 전투와 도감 서사를 맡는다. 장면 스케치 성향이 강해 Moltres 내에서도 존재감이 뚜렷하다."
147,deepseek_lite,딥시크라이트,DeepSeek Lite,1,추론,경량,텍스트,텍스트,17B,26.7KB,,EVO77,Dratini Line,base,가설 압축,41,64,45,50,50,250,12,6,6,6,6,223,164,126,136,136,신중하고 계산이 빠름,DeepSeek 계열의 분위기를 두른 추론 특화 모델몬. DeepSeek Lite 계열답게 경량 성향이 짙다.,"DeepSeek Lite는 DeepSeek 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 가설 압축 성향이 강해 Dratini Line 내에서도 존재감이 뚜렷하다."
148,deepseek_v3,딥시크브이3,DeepSeek V3,2,추론,장문맥,텍스트,텍스트,35B,54.6KB,30,EVO77,Dratini Line,mid,논리 접합,61,84,65,70,70,350,12,6,6,6,6,263,204,166,176,176,조용하지만 집요하게 파고듦,DeepSeek 계열의 분위기를 두른 추론 특화 모델몬. DeepSeek V3 계열답게 장문맥 성향이 짙다.,"DeepSeek V3는 DeepSeek 브랜드 라인에 속한 모델몬으로, 추론 중심의 전투와 도감 서사를 맡는다. 논리 접합 성향이 강해 Dratini Line 내에서도 존재감이 뚜렷하다."
